year,title,region,number,date
2024,有機朗肯循環發電系統,中華民國,I855653,2024/9/11
2024,底循環熱能回收系統,中華民國,M645887,2024/9/1
2022,廢熱回收系統及其控制方法,中華民國,I769837,2022/7/11
2022,複合式熱循環系統,中華民國,I755021,2022/2/11
2022,具多個膨脹器之有機朗肯循環系統,中華民國,M628400,2022/6/11
2021,廢熱回收裝置,中華民國,M618372,2021/10/11
2020,具多個膨脹器之有機朗肯循環系統,中國大陸,,2020/3/12
2019,穿臨界有機朗肯循環混合流體,中華民國,I669385,2019/8/21
2019,水增強型地熱之最佳取熱系統,中華民國,M580626,2019/7/11
2014,壓電型微發電裝置,中華民國,I455473,2014/8/6
2014,氣體驅動裝置及發光二極體模組,中華民國,I454636,2014/10/1
2015,雷射投影方法,中華民國,I489879,2015/6/21
2015,井下清除裝置,中華民國,I484090,2015/5/11
2015,井下清除裝置,中國大陸,ZL201210031212.7,2015/9/2
