year,title,agency,role,date
2025/8 ~ 2026/6,創新風力渦輪機的葉片優化與製造,國科會,共同主持人,NSTC 114-2222-E-167 -003
2025/8 ~ 2028/7,有機朗肯循環系統之容積式膨脹機開發與環保工作流體測試之實驗研究,國科會,計畫主持人,NSTC 114-2221-E-167-037-MY3
2025/12 ~ 2026/11,基於類神經網路與多目標最佳化之電解氫流道設計研究,國科會,共同主持人,114-2637-E-167-015
2024/8 ~ 2027/7,具產氫及負碳之創新兩級乾燥生質能系統之性能與經濟效益分析,國科會,計畫主持人,NSTC 113-2221-E-167-039-MY3
2023/11 ~ 2024/10,智慧化熱電模組回收中低溫廢熱技術之開發,國科會,共同主持人,NSTC 112-2622-E-006-029
2023/8 ~ 2024/10,香菇栽培基質應用於創新生質熱電系統,國科會,計畫主持人,NSTC 112-2221-E-167-005
2022/8 ~ 2026/1,THM儲集層模型整合新型動力循環系統之壽命與經濟性研究,國科會,計畫主持人,MOST 111-2221-E-167 -017 -MY3
,先進燃料轉換及節能技術開發與系統整合,國科會,共同主持人,MOST 110-2622-E-006 -001 -CC1
,工業廢熱回收技術-智能化增強熱交換系統,國科會,共同主持人,MOST 108-3116-F-024-001
,整合地熱電廠儲集層取熱與雙循環發電系統之效能與經濟分析,國科會,計畫主持人,MOST 108-2221-E-167 -007 -MY3
,耐酸蝕高溫熱管開發與測試,國科會,計畫主持人,MOST 108-3116-F-024-001
,熱能循環資源化轉換材料與系統開發,國科會,共同主持人,MOST 107-3113-E-006-010
,宜蘭平原深層地熱探勘鑽井及地熱系統開發研究- EGS儲集層現地取熱評估系統開發(1/2),國科會,共同主持人,MOST 106-3113-M-024 -001
,應用於地熱電廠之穿臨界有機朗肯循環混合工作流體特性研究與經濟效益評估,國科會,計畫主持人,
